folder,category_cn,state_cn,relationship,visual_keywords,motion_description,file
02-avoidance-ambiguity,回避型｜暧昧,回避型,不确定／抓不住,渐缩气泡、透明器物,靠近即变细，轻轻撤离,02-avoidance-ambiguity/image_01_0023f8c5.jpg
01-anxiety-wave,焦虑型｜波动,焦虑型,感知过载,同心涡旋、颗粒,高频外溢，反复失焦,01-anxiety-wave/image_01_028de50b.jpg
01-anxiety-wave,焦虑型｜波动,焦虑型,心动／紧张,叠层波峰、纵向震颤,上下抖动，振幅渐乱,01-anxiety-wave/image_02_14b104e7.jpg
04-fusion-connection,融合态｜连接,融合态,细腻／包容,有机褶皱、双层肌理,缓慢贴合，边缘轻颤,04-fusion-connection/image_01_18d54e48.jpg
07-form-lines-particles,形式基础｜线与粒子,形式基础,路径生成,数学曲线、旋涡,沿曲率生长，在节点回旋,07-form-lines-particles/image_01_2574b88f.jpg
06-self-reflection,审视态｜自我认知,审视态,自我感知,发光手掌、指尖光圈,触点依次亮起，停留后熄灭,06-self-reflection/image_01_324bdd5a.jpg
01-anxiety-wave,焦虑型｜波动,焦虑型,焦虑／忘忧,烟线、粉色雾气,无序游移，短暂聚散,01-anxiety-wave/image_03_34cbb2e5.jpg
04-fusion-connection,融合态｜连接,融合态,相遇／牵引,手、细线、张力网,互相拉扯，保持未完成的连接,04-fusion-connection/image_02_357a5978.jpg
07-form-lines-particles,形式基础｜线与粒子,形式基础,共振图谱,点阵曲面、流线,波阵沿边界推进，局部回弹,07-form-lines-particles/image_02_35e586de.jpg
01-anxiety-wave,焦虑型｜波动,焦虑型,不安全感,磁粉双核、噪点,两核互扰，颗粒急促聚散,01-anxiety-wave/image_04_38b9d28c.jpg
02-avoidance-ambiguity,回避型｜暧昧,回避型,独自抽离,单一细长形、留白,缓慢侧移，拉长后离场,02-avoidance-ambiguity/image_02_3cd49daf.jpg
04-fusion-connection,融合态｜连接,融合态,包容／共振,球链、悬挂结构,多点同频起伏，局部缠绕,04-fusion-connection/image_03_407d48ac.jpg
06-self-reflection,审视态｜自我认知,审视态,他者目光,肖像、双屏、反差,视线延迟切换，轮廓重影,06-self-reflection/image_02_427f0837.jpg
04-fusion-connection,融合态｜连接,融合态,依恋／缠绕,白色丝带、结团,柔性绕行，松开后回弹,04-fusion-connection/image_04_442ea6af.jpg
07-form-lines-particles,形式基础｜线与粒子,形式基础,轨迹／生长,手绘机械线、节点,线条分叉延伸，节点短暂停顿,07-form-lines-particles/image_03_45527bc3.jpg
05-freedom-wind,自由态｜风,安全型,风随风,海面飞鸟、波形编队,受风起伏，队形缓慢拉开,05-freedom-wind/image_01_46f2bce7.jpg
01-anxiety-wave,焦虑型｜波动,焦虑型,持续扰动,沙丘波纹、黑白高反差,波峰推进，边缘轻微震颤,01-anxiety-wave/image_05_474f2e46.jpg
05-freedom-wind,自由态｜风,安全型,自由／风力,风帆机械装置,受风展开，停风后缓慢下垂,05-freedom-wind/image_02_4a1b4234.jpg
04-fusion-connection,融合态｜连接,融合态,柔性共生,蓝色藤蔓、闭合圈,从边缘抽芽，回到中心,04-fusion-connection/image_05_4bd5bcc9.jpg
05-freedom-wind,自由态｜风,安全型,风随风,白色织物、海边装置,先弯曲后回摆，波峰依次传递,05-freedom-wind/image_03_4c84e726.jpg
05-freedom-wind,自由态｜风,安全型,自由／牵线,单体风筝、蓝天,张力拉直，缓慢升降,05-freedom-wind/image_04_4eed984c.jpg
03-safety-rational,安全型｜理性,安全型,理性／静观,柔软山丘、单色渐层,低频呼吸，轮廓极慢起伏,03-safety-rational/image_01_5207fc72.jpg
01-anxiety-wave,焦虑型｜波动,焦虑型,审视下的紧张,粒子人脸、圆形噪声,聚焦后错位，噪点向外逸散,01-anxiety-wave/image_06_549de0c5.jpg
05-freedom-wind,自由态｜风,安全型,风随风,网格风帆、城市雾景,整体受风弯曲，格点滞后跟随,05-freedom-wind/image_05_56d958b8.jpg
02-avoidance-ambiguity,回避型｜暧昧,回避型,暧昧／悬置,拉长杯体、泡泡链,边界延展，末端逐渐漏散,02-avoidance-ambiguity/image_03_582dc1ef.jpg
04-fusion-connection,融合态｜连接,融合态,亲密摩擦,柔软表皮、紫色缝隙,相贴处收紧，缝隙轻微开合,04-fusion-connection/image_06_64afa611.jpg
05-freedom-wind,自由态｜风,安全型,人行漂浮,风中包裹的人、空旷地面,布料先响应，身体随后偏移,05-freedom-wind/image_06_655e303a.jpg
01-anxiety-wave,焦虑型｜波动,焦虑型,不规则感知,细胞波纹、中心孔洞,局部鼓起又塌陷，持续微颤,01-anxiety-wave/image_07_671f96c3.jpg
03-safety-rational,安全型｜理性,安全型,情感信号,荒地红烟、强色块,主体稳定，红雾短促扩散,03-safety-rational/image_02_691a4b02.jpg
05-freedom-wind,自由态｜风,安全型,自由／平衡,蓝白风筝、对称面,在牵线张力中微调平衡,05-freedom-wind/image_07_69e41093.jpg
06-self-reflection,审视态｜自我认知,审视态,孤立／宇宙尺度,星空、微小红色个体,个体缓慢漂移，背景几乎静止,06-self-reflection/image_03_7285af29.jpg
02-avoidance-ambiguity,回避型｜暧昧,回避型,未定形边界,半透明有机体、黑底,边缘呼吸，轮廓短暂融化,02-avoidance-ambiguity/image_04_73da5e7a.jpg
05-freedom-wind,自由态｜风,安全型,抓不住,风中白布、海岸,松手后飘远，尾端滞后拖曳,05-freedom-wind/image_08_743d829d.jpg
05-freedom-wind,自由态｜风,安全型,风随风,悬挂网幕、格点,中部下坠，左右依次回弹,05-freedom-wind/image_09_75321b3a.jpg
01-anxiety-wave,焦虑型｜波动,焦虑型,心如乱麻,金属波形、镜面堆叠,高频震动，局部突然错位,01-anxiety-wave/image_08_76c4c671.jpg
04-fusion-connection,融合态｜连接,融合态,相遇／相吸,双圆、笔触旋涡,两股流线绕行，不完全相融,04-fusion-connection/image_07_7a79e8c9.jpg
03-safety-rational,安全型｜理性,安全型,被安放,室内地景、圆形边界,光线缓慢移动，空间保持稳定,03-safety-rational/image_03_7b1c9a5e.jpg
06-self-reflection,审视态｜自我认知,审视态,多重观看,万花筒眼睛、镜像,凝视重复展开，再折回单点,06-self-reflection/image_04_7ce0c510.jpg
05-freedom-wind,自由态｜风,安全型,人行漂浮,白色人形风筝、蓝天,向上牵引，四肢尾端延迟摆动,05-freedom-wind/image_10_7e26035c.jpg
04-fusion-connection,融合态｜连接,融合态,彼此牵引,双色布带、环形构图,两端绕行靠近，留下一道缝隙,04-fusion-connection/image_08_80f5bcc7.jpg
02-avoidance-ambiguity,回避型｜暧昧,回避型,失衡的优雅,扭曲高脚杯、透明材质,轻微偏斜，自行找回平衡,02-avoidance-ambiguity/image_05_834d3713.jpg
04-fusion-connection,融合态｜连接,融合态,温柔覆盖,手与薄膜、流体,接触处下垂，分离时拉丝,04-fusion-connection/image_09_8bc9adc1.jpg
04-fusion-connection,融合态｜连接,融合态,悬挂陪伴,羽毛、石子、细线,不同重量错峰摆动，逐渐同频,04-fusion-connection/image_10_8e5cf7cf.jpg
01-anxiety-wave,焦虑型｜波动,焦虑型,心跳／扩散,同心波纹、细密颗粒,由中心脉冲扩散，再慢慢平息,01-anxiety-wave/image_09_916ea2cb.jpg
04-fusion-connection,融合态｜连接,融合态,对称共鸣,双向花纹、箭头线,两侧同步展开，在中线相遇,04-fusion-connection/image_11_91e9c555.jpg
03-safety-rational,安全型｜理性,安全型,秩序中的孤独,黑白螺旋雕塑,稳定旋转，内圈速度更慢,03-safety-rational/image_04_9580ba83.jpg
03-safety-rational,安全型｜理性,安全型,理性信号,山地、红色几何体,景观静止，红色体块微弱脉冲,03-safety-rational/image_05_96e044c7.jpg
04-fusion-connection,融合态｜连接,融合态,有机相遇,花蕊线稿、双曲线,从中心交汇，再分别舒展,04-fusion-connection/image_12_9a82e841.jpg
03-safety-rational,安全型｜理性,安全型,克制的情感,白色线性雕塑、留白,极慢转向，线条保持张力,03-safety-rational/image_06_9ee0a424.jpg
06-self-reflection,审视态｜自我认知,审视态,身份模糊,白色重影人像、黑底,轮廓延迟叠加，最后对焦,06-self-reflection/image_05_a0d21652.jpg
05-freedom-wind,自由态｜风,安全型,自由轨迹,高空双线、蓝天,平行上升，逐渐淡出,05-freedom-wind/image_11_a2238700.jpg
05-freedom-wind,自由态｜风,安全型,抓不住,风中布体、人像,主体被风卷起，短暂悬停,05-freedom-wind/image_12_ab9775cd.jpg
05-freedom-wind,自由态｜风,安全型,风随风,层叠风筝、牵线,逐层受力，上下错峰摆动,05-freedom-wind/image_13_adc27b0c.jpg
07-form-lines-particles,形式基础｜线与粒子,形式基础,有机图案,卷曲线、双核对称,曲线互相避让，形成柔性网格,07-form-lines-particles/image_04_b2e21797.jpg
02-avoidance-ambiguity,回避型｜暧昧,回避型,抽离／留白,单线、尖点、空白,在空白中缓慢偏移，末端淡去,02-avoidance-ambiguity/image_06_c251d0a8.jpg
03-safety-rational,安全型｜理性,安全型,克制的情感,室内、红色天际,场景静置，天色缓慢渗入,03-safety-rational/image_07_cb64bb23.jpg
03-safety-rational,安全型｜理性,安全型,孤独／可停留,海面混凝土、低对比,水面低频起伏，主体稳定,03-safety-rational/image_08_cb937328.jpg
06-self-reflection,审视态｜自我认知,审视态,自我失焦,多帧人像、黑底,头部连续重影，逐步恢复单一,06-self-reflection/image_06_cff625e3.jpg
04-fusion-connection,融合态｜连接,融合态,可触的关系,双手、透明网格,两端拉伸，中部轻微呼吸,04-fusion-connection/image_13_d1b439ac.jpg
05-freedom-wind,自由态｜风,安全型,自由／漂浮,水母风筝、蓝天,触须拖曳，主体顺风游移,05-freedom-wind/image_14_d28b57d8.jpg
06-self-reflection,审视态｜自我认知,审视态,自我轮廓,剪影、背影、冷光,轮廓缓慢浮现，又回到暗处,06-self-reflection/image_07_d723bcc0.jpg
06-self-reflection,审视态｜自我认知,审视态,第三性／身份,圆形结构、身体意象,内核缓慢旋转，边界保持开放,06-self-reflection/image_08_d908e486.jpg
07-form-lines-particles,形式基础｜线与粒子,形式基础,能量分布,粒子热图、横向频谱,粒子沿主轴聚集，向两侧衰减,07-form-lines-particles/image_05_dbb5df5b.jpg
04-fusion-connection,融合态｜连接,融合态,自然生长,花与线、留白,枝条缓慢探出，在节点相接,04-fusion-connection/image_14_dbd6725d.jpg
06-self-reflection,审视态｜自我认知,审视态,他者映照,多人脸拼贴、近距离,视线轮流显现，表情轻微错位,06-self-reflection/image_09_dd77172f.jpg
06-self-reflection,审视态｜自我认知,审视态,镜像／自省,四格人像、侧脸,两张脸交替靠近，停在未接触处,06-self-reflection/image_10_dd79d63a.jpg
03-safety-rational,安全型｜理性,安全型,理性与感性并置,书封、螺旋、动物叠影,形体缓慢变形，重心保持不动,03-safety-rational/image_09_df0ad439.jpg
